ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY
DDR190314000658496138,DDR190314000343673921,90809954683,HH,Household,U,RD03,,288 Leather Conjunction Way,,,Express City,XB6 2SA,176.7013,153.3958,E75829632,W11146852,E95061688,E91711694,W23779958,5,1,HH_1LSFN,,,
DDR190314000618069894,DDR190314000225942479,77398381215,HH,Household,U,RD06,,344 Screensavers Goods Passage,,,Wesley City,WC2 8DJ,42.5955,1.2099,W70924974,N31366245,E28481588,W61794326,E99286633,3,2,HH_1LSFN,,,
DDR190314000456525993,DDR190314000823309486,61136261093,HH,Household,U,RD05,,292 Slow Offering Passage,,,Ambien City,UF4 9FI,106.6162,146.3907,N48998554,E38474965,W83280225,E64928153,W52077276,3,5,HH_1LSFN,,,
DDR190314000720868526,DDR190314000517324993,54770522592,HH,Household,U,RD02,,586 Heritage Notification Street,,,Locale Hamlet,PK5 8ZO,151.9703,-160.6248,W83201449,N57777690,W81244057,W46455638,N42662709,1,3,HH_1LSFN,,,
DDR190314000358716223,DDR190314000527840080,76490159968,HH,Household,U,RD02,,663 Praise Lived Way,,,Implementing Village,FB6 8MW,-160.3866,111.5972,N96989783,W86025970,N73792475,E52482972,W47666761,4,1,HH_1LSFN,,,
DDR190314000745660163,DDR190314000501545145,32244886285,HH,Household,U,RD05,,760 Championships Offices Passage,,,Casey Village,ZX2 3LO,154.7215,-15.9574,N48846460,N25620545,W57653209,N17198787,W32440152,4,4,HH_1LSFN,,,
DDR190314000472833059,DDR190314000764829157,70363242158,HH,Household,U,RD06,,903 Doubt Superb Avenue,,,Institutional Town,YQ9 7MY,-138.5427,119.6056,E79448671,E44578769,N83139655,N12153767,E60371539,5,2,HH_1LSFN,,,
DDR190314000983386102,DDR190314000506134419,29549345149,HH,Household,U,RD03,,93 Dale Alex Street,,,Moldova Village,LC4 1WD,163.1916,-102.5018,E71843759,W33656485,W21793132,W80858180,N25866913,1,1,HH_1LSFN,,,
DDR190314000838004640,DDR190314000632396791,48836328727,HH,Household,U,RD06,,409 Ensure Descriptions Road,,,Galleries City,BV2 8UL,-5.1434,96.8718,E76544791,W84414452,N94969553,E26043983,W72234352,4,1,HH_1LSFN,,,
DDR190314000500316748,DDR190314000947741055,43886686921,HH,Household,U,RD06,,511 Therapeutic Island Way,,,Lessons Village,YI2 5ZE,38.3063,-138.5868,W38187454,E16996399,E70902820,N30275436,W71346569,5,2,HH_1LSFN,,,
DDR190314000170039374,DDR190314000869859281,20220175161,HH,Household,U,RD06,,885 Chairman Cottages Passage,,,Tears Hamlet,EC7 1SP,-69.8404,-51.6691,N47937209,E28380311,W97749758,N50188545,N40121359,2,2,HH_1LSFN,,,
DDR190314000167768089,DDR190314000294625361,81990118973,HH,Household,U,RD04,,843 Exercises Trim Road,,,Merchant Town,NW8 8MX,104.4183,-20.5264,W69478822,W10765969,W78138210,E60142700,N71267044,2,3,HH_1LSFN,,,
DDR190314000826391161,DDR190314000126430649,86422481177,HH,Household,U,RD04,,51 Completing Flip Lane,,,Minimum Village,GP3 5JT,82.1634,-164.4754,N17011643,N16883043,E65433404,N62848826,E10062372,1,2,HH_1LSFN,,,
DDR190314000173712033,DDR190314000915521304,38067591885,HH,Household,U,RD03,,989 Words Austria Way,,,Easter Hamlet,HH8 8OA,-47.6618,139.7859,W55986814,N28594865,E88399926,E21201394,N53366626,5,4,HH_1LSFN,,,
DDR190314000764728050,DDR190314000276497526,92866384717,HH,Household,U,RD03,,154 Louise Michael Passage,,,Postposted City,YP7 7WN,89.2264,-12.7652,E19164113,W78245314,E77024013,N65020600,E74280990,5,2,HH_1LSFN,,,
DDR190314000985023613,DDR190314000569484217,80983989512,HH,Household,U,RD05,,961 Seventh Endangered Street,,,Inspired Hamlet,DB9 3MP,97.9377,-48.2429,E16580136,E90585640,W31919512,N63147661,W51663265,4,2,HH_1LSFN,,,
DDR190314000559756621,DDR190314000787869822,52531812967,HH,Household,U,RD04,,2 Lovely Knights Street,,,Queue City,AG4 9TX,148.1737,79.7498,W62856139,N18237616,W13775710,N87179714,E34877165,4,2,HH_1LSFN,,,
DDR190314000577902771,DDR190314000659105583,79147086418,HH,Household,U,RD06,,55 Muslim Liberia Lane,,,Differ City,TW4 7SN,-160.2545,123.3175,E12847960,E58667461,W43154565,N16044113,N21375931,2,3,HH_1LSFN,,,
DDR190314000235011937,DDR190314000267848688,92590798148,HH,Household,U,RD05,,768 Proceeds Bool Way,,,Photography City,NL5 7CS,87.7784,17.3862,E20806898,W65164648,W40493390,W54102501,N81898920,4,5,HH_1LSFN,,,
DDR190314000626134356,DDR190314000656418712,15517055317,HH,Household,U,RD06,,202 Describes Disabled Way,,,Jobs City,SZ1 6MH,-118.5503,63.6247,N50708105,E31361311,N61543322,E51271833,W73376112,2,4,HH_1LSFN,,,
DDR190314000487859581,DDR190314000485549681,99747202699,HH,Household,U,RD06,,25 Latino Photograph Alley,,,Consistency Hamlet,XD2 9HN,146.5979,76.8459,N11424948,E55855582,E30850328,W36389599,W18832644,1,3,HH_1LSFN,,,
DDR190314000504446381,DDR190314000958156651,16796643006,HH,Household,U,RD03,,439 Posing Markets Street,,,Fruits City,MI8 2OI,-162.4401,99.2573,E76742072,E68151758,N69544075,W64537808,W86367416,3,4,HH_1LSFN,,,
DDR190314000130418621,DDR190314000327670506,76852443065,HH,Household,U,RD05,,631 Jacket Blind Lane,,,Enforcement City,EZ2 2VY,-20.8741,118.4386,W89796062,W56591663,E92483593,N96243285,E45753781,4,2,HH_1LSFN,,,
DDR190314000534468054,DDR190314000301312258,68865730961,HH,Household,U,RD06,,296 Plates Science Street,,,Cinema Village,AR5 4ZI,-59.3544,-23.8722,W11287788,W88560860,E82451437,N86386604,N42613777,3,4,HH_1LSFN,,,
DDR190314000873442840,DDR190314000293624685,75819854967,HH,Household,U,RD04,,616 Workers Crossword Lane,,,Walt Town,HH6 7LU,3.7209,77.7560,E42178934,N41743450,N80427883,W37536361,N96993313,5,5,HH_1LSFN,,,
DDR190314000672377696,DDR190314000911730387,99495103845,HH,Household,U,RD02,,773 Drives Happen Lane,,,Dayton Town,GY4 4IO,31.5205,7.1879,E21584706,W35477101,N66865650,W84501684,N71236716,5,5,HH_1LSFN,,,
DDR190314000251077450,DDR190314000470352645,76356631147,HH,Household,U,RD03,,576 Accomplished Mutual Lane,,,Opens Village,HE6 8EE,84.4752,-20.2346,E38491062,W72387467,N17435311,N88670241,N42639135,2,1,HH_1LSFN,,,
DDR190314000775474300,DDR190314000217740654,37107900734,HH,Household,U,RD05,,385 Gaming Palestinian Alley,,,Dogs City,HJ3 7LK,-26.9583,148.2369,N35951234,N80056159,N39480849,E34687223,N83185030,5,4,HH_1LSFN,,,
DDR190314000979490136,DDR190314000101781704,98024032017,HH,Household,U,RD04,,15 Fatal Outlined Passage,,,Slim Hamlet,BT7 4RF,50.6621,-88.8263,N26001272,E49395565,N47027058,N51869349,N41439649,3,5,HH_1LSFN,,,
DDR190314000100553933,DDR190314000565730020,25161381825,HH,Household,U,RD03,,312 Montana Reliance Road,,,Agrees Hamlet,XP9 4FD,155.5922,-79.4677,N31780294,W90902281,E79781772,N72185159,W12982905,4,3,HH_1LSFN,,,
DDR190314000129155148,DDR190314000204497900,18561902711,HH,Household,U,RD04,,332 Apartments Operation Street,,,Attractions Village,WW8 2LH,11.3322,80.8895,N82978938,W38825575,E10686082,W33571997,W90898345,4,5,HH_1LSFN,,,
DDR190314000637412934,DDR190314000392831712,76182718989,HH,Household,U,RD03,,471 Alabama Kits Way,,,Merely City,TP8 4OR,40.3648,7.9527,W71280832,E31591323,N26403192,E51931967,E36242672,2,5,HH_1LSFN,,,
DDR190314000154372305,DDR190314000411741029,50745256835,HH,Household,U,RD05,,529 Collect Elderly Passage,,,Vegetarian Hamlet,BP8 2KY,46.5230,-145.3641,W40550899,N64093065,N62641546,N45566353,N75554907,4,4,HH_1LSFN,,,
DDR190314000251007748,DDR190314000137269831,73978459082,HH,Household,U,RD06,,58 Martha Beta Avenue,,,Tactics Hamlet,UI9 2VB,-56.1714,96.4036,W36257689,W55341310,W58910707,N45984316,W58344562,1,5,HH_1LSFN,,,
DDR190314000534112419,DDR190314000128507489,78664712785,HH,Household,U,RD05,,522 Sponsors Candidate Alley,,,Declare Hamlet,MR6 3SB,10.2657,88.9970,N86498201,E27119774,N87945622,N64598208,W18734887,3,2,HH_1LSFN,,,
DDR190314000169987932,DDR190314000401983129,38417301033,HH,Household,U,RD05,,435 Raised Colored Lane,,,Vista Village,HZ8 6FX,-164.1975,160.5304,N14943942,N89802379,E81655809,W72193419,W71092607,1,1,HH_1LSFN,,,
DDR190314000262189823,DDR190314000433386792,94745762737,HH,Household,U,RD03,,416 Cheese Relationship Passage,,,Tiger City,WC1 6PX,-159.5900,141.6426,W21042501,W56496662,W32375623,N93516194,N25477574,2,1,HH_1LSFN,,,
DDR190314000133467263,DDR190314000391455690,47704467549,HH,Household,U,RD04,,478 Devon Consistent Road,,,Infected Town,OQ9 1TF,-62.7074,-22.5781,E66953585,W28809078,E95727236,N34330684,N67070068,4,1,HH_1LSFN,,,
DDR190314000671601952,DDR190314000150437540,82326736713,HH,Household,U,RD03,,380 Coordinates Terminals Alley,,,Casting Hamlet,OF1 5ER,128.2986,-44.6211,E87601834,E92618618,E71780414,N20593786,E11103235,2,3,HH_1LSFN,,,
DDR190314000890827899,DDR190314000319671986,39657732243,HH,Household,U,RD03,,907 Confusion Recognize Alley,,,Food City,VQ3 4PX,-31.9742,4.9113,W57708589,N10317228,W84143000,E45801890,N59400145,3,5,HH_1LSFN,,,
DDR190314000319029780,DDR190314000288430466,19020341087,HH,Household,U,RD06,,403 Parental Basketball Road,,,Formatting Town,FC1 8FR,-87.7888,-94.1900,W78345428,E21776058,N38962793,N19834117,W24875091,4,2,HH_1LSFN,,,
DDR190314000809809869,DDR190314000953164312,37306687208,HH,Household,U,RD02,,164 Completing Maiden Lane,,,Profiles Hamlet,EW5 8TW,43.2217,-153.2569,N42779712,N81063802,E53449627,W74659835,W58175230,3,3,HH_1LSFN,,,
DDR190314000790148977,DDR190314000815012957,88894778954,HH,Household,U,RD02,,442 Served Script Lane,,,Final Town,ZO5 4GD,166.9132,-87.2395,E47223709,E28085899,E50894385,W87866038,N70984588,2,4,HH_1LSFN,,,
DDR190314000601025785,DDR190314000451031880,12930981733,HH,Household,U,RD03,,707 Effective Distances Passage,,,Ratings Hamlet,ES5 7AH,14.4841,-158.7879,E93476472,E68623498,E73365408,N99886476,W74773740,4,3,HH_1LSFN,,,
DDR190314000840364444,DDR190314000209583611,18191722506,HH,Household,U,RD05,,26 Runtime Random Lane,,,Parental City,UE1 6ME,117.3118,121.3206,W29532497,N78126490,N70967497,E77472623,N24248610,3,3,HH_1LSFN,,,
DDR190314000487454935,DDR190314000538628584,49569880657,HH,Household,U,RD06,,954 Awesome Rochester Alley,,,Bullet Village,YR5 9QF,125.9243,-138.5323,N41080953,W15753450,E59081867,W10415513,W45901985,5,3,HH_1LSFN,,,
DDR190314000900556263,DDR190314000397655916,25864790300,HH,Household,U,RD06,,154 Conference Sink Way,,,Zdnet Town,AB4 1GA,124.1004,115.6072,N90256347,E75680494,E31474566,N53992890,N40794653,3,2,HH_1LSFN,,,
DDR190314000253710057,DDR190314000644702690,65601141303,HH,Household,U,RD02,,576 Switzerland Cold Street,,,Scanner Town,FD2 6GE,-20.8536,155.6126,E98860178,N32805988,N83286416,N73368177,N91404003,4,2,HH_1LSFN,,,
DDR190314000738096779,DDR190314000869126920,56191944875,HH,Household,U,RD04,,964 Relationship Puppy Alley,,,Undertake Hamlet,FN5 8RK,31.8275,5.5506,W82466470,N61086483,N97897203,E54951302,E91995130,1,2,HH_1LSFN,,,
DDR190314000465116873,DDR190314000890031333,76214769236,HH,Household,U,RD03,,599 Afford Brooks Lane,,,Born Town,DO4 2DN,6.9635,65.1365,N50629593,E69441552,W64968326,W82841963,W78101463,3,1,HH_1LSFN,,,
DDR190314000580045116,DDR190314000818924347,34166745795,HH,Household,U,RD04,,611 Curious Vampire Avenue,,,Willow Village,MO1 3UD,-156.8268,-29.4687,E67270460,W45200757,E35086390,W20781498,E96342925,1,5,HH_1LSFN,,,
DDR190314000810301046,DDR190314000157803422,28779813589,HH,Household,U,RD05,,490 Barnes Whore Way,,,Assure Town,BC8 8SO,-144.8235,-5.3345,N96385518,W91507670,E49211083,N45427439,E27455877,1,1,HH_1LSFN,,,
DDR190314000201727961,DDR190314000641952064,92402316771,HH,Household,U,RD03,,229 Track Means Alley,,,Congo Town,DT9 3SK,129.2473,-123.9405,W79892421,N56937853,N25889350,W83657549,E69908910,1,2,HH_1LSFN,,,
DDR190314000366592344,DDR190314000491975822,10585211971,HH,Household,U,RD06,,890 Reliability Bush Avenue,,,Traveling Town,OC6 5BZ,170.1858,-57.3952,W16955646,E87270580,N42008199,E34013091,N38953118,5,4,HH_1LSFN,,,
DDR190314000191866866,DDR190314000807330780,67385714110,HH,Household,U,RD03,,980 Scholarships Registry Lane,,,Lyrics Hamlet,GE1 4PH,-61.7824,-147.8037,E76584674,W71637865,N18250537,E45092836,E81397168,1,2,HH_1LSFN,,,
DDR190314000250545106,DDR190314000804033433,94172109224,HH,Household,U,RD05,,743 Structure Unsigned Passage,,,Baskets Village,GN2 3LA,32.3306,-131.7537,W87574288,W29778243,N74399396,W69085516,W38507304,4,2,HH_1LSFN,,,
DDR190314000447413167,DDR190314000138488963,99594672780,HH,Household,U,RD03,,952 Mazda Commodities Lane,,,Acquisitions City,GA2 1SY,84.6699,-157.5191,W33244201,N45373028,N30930945,W70728153,W24467881,4,5,HH_1LSFN,,,
DDR190314000967296909,DDR190314000191880557,97961938476,HH,Household,U,RD02,,802 Keno Standards Lane,,,Hist City,FI2 1TC,163.9273,36.3698,N54129941,W84372315,E48512119,W37944494,N74366019,2,4,HH_1LSFN,,,
DDR190314000468890202,DDR190314000568446455,38645821307,HH,Household,U,RD04,,207 Minus Generation Street,,,Citizenship Hamlet,IY2 4DQ,-108.7540,36.9139,E59010169,W37734330,N61249618,E80023352,N66988783,5,4,HH_1LSFN,,,
DDR190314000226013331,DDR190314000256251969,73397789808,HH,Household,U,RD04,,692 Implementing Belize Road,,,Amended City,BD7 9WF,39.8496,79.3148,W42884131,N26043035,W21849186,E66534943,E85155451,4,4,HH_1LSFN,,,
DDR190314000200149063,DDR190314000505419410,69768946395,HH,Household,U,RD05,,88 Prize Heat Passage,,,Lite City,IY2 8VY,97.5838,27.9414,E39518083,W89340942,E37216684,N66461875,W26522816,1,3,HH_1LSFN,,,
DDR190314000312714674,DDR190314000321469579,85599607627,HH,Household,U,RD03,,552 Reviewed Holdings Road,,,Pill City,IP1 8QK,149.3192,-96.4939,N53382961,N38972346,W29652973,E25852158,N87661144,3,5,HH_1LSFN,,,
DDR190314000488836801,DDR190314000971050067,27965183059,HH,Household,U,RD05,,342 Experiencing Checklist Way,,,Stating City,HU9 9WY,-48.6364,59.8114,N97061718,N39646370,W11033417,N11049833,E74865089,5,4,HH_1LSFN,,,
DDR190314000469863122,DDR190314000138270876,82096789005,HH,Household,U,RD03,,422 Merit Pearl Alley,,,Compile Town,AC6 1MA,57.8831,-80.4019,N16672127,E32757642,N69414176,N78338220,E60354885,2,1,HH_1LSFN,,,
DDR190314000580440949,DDR190314000427575409,67269139968,HH,Household,U,RD04,,600 Gazette Friday Lane,,,Editorials Village,HM4 9XD,43.9269,24.9044,N10027569,W68854263,E75393895,E17830817,N78550323,3,5,HH_1LSFN,,,
DDR190314000832521580,DDR190314000249646469,16089787264,HH,Household,U,RD06,,810 Missing Weekly Alley,,,Meant City,AU4 3PF,-89.3196,119.6817,N37660216,W67948970,N14843028,N61505441,N45642037,4,2,HH_1LSFN,,,
DDR190314000748426284,DDR190314000819064318,97598417275,HH,Household,U,RD02,,819 Socks Media Passage,,,Magazine City,PC9 9EZ,-44.8072,-118.3733,W55743203,N54597321,W28853860,W60441107,E69609842,2,2,HH_1LSFN,,,
DDR190314000343541968,DDR190314000485726249,56561581265,HH,Household,U,RD03,,312 Graphics Arrangement Lane,,,Margaret City,NT7 6EO,-56.1675,-4.2293,E69564992,E80672591,N86457971,N16091957,E19920745,2,1,HH_1LSFN,,,
DDR190314000280309413,DDR190314000500570895,34778602281,HH,Household,U,RD05,,17 Lens Expected Passage,,,Bankruptcy Hamlet,QC4 6YC,-136.1721,51.7058,E17004102,E43979556,N62919101,E80312342,W23307869,5,2,HH_1LSFN,,,
DDR190314000403173625,DDR190314000765540253,62334682689,HH,Household,U,RD05,,457 Fireplace Involvement Road,,,Proposals Town,UA8 1SN,-67.7693,-76.9577,W80325599,E26348226,N99132733,E19938776,N21663559,1,4,HH_1LSFN,,,
DDR190314000477051980,DDR190314000747850785,14811375469,HH,Household,U,RD04,,690 Connectors Verification Street,,,Carol Town,MO6 2CH,43.9922,10.4650,E91249269,N79004098,E54015607,W99073952,N41889821,4,2,HH_1LSFN,,,
DDR190314000625521678,DDR190314000849134442,27731363640,HH,Household,U,RD05,,439 Gregory Spin Lane,,,Qualify Hamlet,XZ9 2UK,-114.2859,2.9187,W59548932,N38038847,W26123612,N97530851,E99127657,1,5,HH_1LSFN,,,
DDR190314000443794969,DDR190314000282870445,41195961710,HH,Household,U,RD06,,605 Shade Scientific Passage,,,Childhood Town,VJ7 5KZ,87.6675,16.6540,E46858764,N47225043,N73111717,N74474711,W91082993,2,1,HH_1LSFN,,,
DDR190314000259424225,DDR190314000832242792,30403253257,HH,Household,U,RD02,,851 Lucky Remove Passage,,,Thursday Town,WG7 3DS,96.1584,38.2625,W20200191,N90967178,W46850483,W22424252,W98947858,2,1,HH_1LSFN,,,
DDR190314000478870052,DDR190314000878054557,29247819793,HH,Household,U,RD03,,506 Shares Scholar Passage,,,Approximately Village,NN8 4NV,-29.2054,-178.1803,N86327177,W49549485,W13591478,E38790444,E48559544,2,5,HH_1LSFN,,,
DDR190314000794472818,DDR190314000588191366,87638967823,HH,Household,U,RD03,,47 Span Secret Road,,,Harvey City,GQ2 4PN,27.9087,-38.8112,E51413481,N39431655,W81792583,E85620494,W78437452,2,4,HH_1LSFN,,,
DDR190314000810631657,DDR190314000595868442,49137041722,HH,Household,U,RD02,,949 Ruled Healthy Way,,,Blues Town,SV4 9CZ,144.2197,163.4582,E94338446,E44386786,N99512824,E95289925,E35166808,2,3,HH_1LSFN,,,
DDR190314000192253524,DDR190314000715576150,10172964664,HH,Household,U,RD02,,387 Tourism Nerve Way,,,Audio Town,VC1 7NS,84.3207,-65.2965,E42191324,E38693181,W88212703,N73858864,W11145111,1,4,HH_1LSFN,,,
DDR190314000251606923,DDR190314000922532542,70379226954,HH,Household,U,RD04,,958 Customs Occurred Avenue,,,Removable City,EI6 1BG,169.5521,-46.8025,N27829602,N16633787,E55767978,N43212087,W49886807,5,5,HH_1LSFN,,,
DDR190314000653641250,DDR190314000945483952,42861078984,HH,Household,U,RD04,,648 Sites Mentioned Alley,,,Innovation Village,CF9 7KP,-105.5705,-74.2828,W86021000,W39991758,E78034012,W50982139,W21932613,3,2,HH_2LEFN,,,
DDR190314000929610449,DDR190314000830476430,69330555543,HH,Household,U,RD03,,174 Intend Discrete Avenue,,,Inch Town,GJ6 3GV,88.3297,154.4171,N28626391,E78151675,W47729055,N53113480,E35738696,5,4,HH_2LEFN,,,
DDR190314000913716518,DDR190314000499559869,99894783527,HH,Household,U,RD04,,898 Printer Fort Road,,,Engaged Village,GW1 6CH,31.7012,157.2329,E43828910,N54135765,W37387180,W23439005,N70088604,5,2,HH_2LEFN,,,
DDR190314000533399081,DDR190314000173837332,44789529044,HH,Household,U,RD02,,818 Bradley Effect Lane,,,Preference Hamlet,MT3 8XF,157.5682,-38.1999,E38695075,N76362951,E99750130,N67426853,N70230439,5,1,HH_2LEFN,,,
DDR190314000890023792,DDR190314000626061333,14834411064,HH,Household,U,RD06,,153 Strand Arrest Alley,,,Knows Village,JK8 1II,-50.7894,-130.6025,N45219452,E25179648,E38062042,W78080314,E85415842,3,4,HH_2LEFN,,,
DDR190314000649679823,DDR190314000920208366,13764129494,HH,Household,U,RD02,,814 Helpful Garcia Alley,,,Blast Village,QH5 2TL,69.3775,61.1172,N41851817,E10501337,W16508284,N57578343,N11413606,2,5,HH_2LEFN,,,
DDR190314000956495383,DDR190314000998691011,43590981854,HH,Household,U,RD02,,899 Quiz Businesses Road,,,Processed City,BX7 4HC,69.2557,-10.3647,W82804991,N31842210,E55800916,N81780364,N50294096,2,5,HH_2LEFN,,,
DDR190314000763588408,DDR190314000909955440,80330721883,HH,Household,U,RD05,,862 Biotechnology Pole Street,,,Appeared Hamlet,NM2 8RJ,68.5454,-97.9602,E17905428,N92240015,W31414346,N87407938,E36674469,3,3,HH_2LEFN,,,
DDR190314000746540052,DDR190314000320552795,34004495948,HH,Household,U,RD05,,1 Jennifer Pipes Road,,,Shadow Town,QR6 7ZT,133.2854,-22.1093,W44934640,N11069418,E17926127,N48746843,N93459031,3,1,HH_2LEFN,,,
DDR190314000574977412,DDR190314000707906489,72537932765,HH,Household,U,RD03,,310 Mirror Indicator Way,,,Bios Village,DV7 5CG,-31.6208,-88.7688,W56525956,E65691308,N27797128,N48883922,E95306372,5,1,HH_2LEFN,,,
DDR190314000231945641,DDR190314000457701078,85812987450,HH,Household,U,RD03,,89 Indian Properly Street,,,Iceland City,EQ4 6MP,-166.3433,-141.3328,N46871184,E58786505,N85309215,W24882853,E59591134,5,1,HH_2LEFN,,,
DDR190314000267517951,DDR190314000321392374,85723308572,HH,Household,U,RD03,,551 Bringing Dealt Avenue,,,Asked City,GX1 6IK,10.7415,-59.4319,E84101944,W72718336,E32165174,E40603716,W52744153,4,5,HH_2LEFN,,,
